|name        |created_at             |updated_at             |kota_id                             |
|------------|-----------------------|-----------------------|------------------------------------|
|Banjarnegara|2025-11-06 16:44:09.129|2025-11-06 16:44:09.129|54076dc5-02c7-46f0-80a1-f79ca15a0f97|
|Banyumas    |2025-11-06 16:44:09.129|2025-11-06 16:44:09.129|3e5614eb-24fb-4972-924b-b36ed88fe275|
|Batang      |2025-11-06 16:44:09.129|2025-11-06 16:44:09.129|f2f87e1d-4499-4e47-9169-d35ef83fa4e7|
|Blora       |2025-11-06 16:44:09.129|2025-11-06 16:44:09.129|0dd12a00-32a7-4ac5-ba7d-436243b4eb9c|
|Boyolali    |2025-11-06 16:44:09.129|2025-11-06 16:44:09.129|e076838c-85bb-4689-9b27-a16f8c2961e0|
|Brebes      |2025-11-06 16:44:09.129|2025-11-06 16:44:09.129|c185a60c-7263-4d1f-9a15-698905317919|
|Cilacap     |2025-11-06 16:44:09.129|2025-11-06 16:44:09.129|42b6d459-d5f7-4679-8920-a856fe61c9bc|
|Demak       |2025-11-06 16:44:09.129|2025-11-06 16:44:09.129|a017d302-b241-4ab3-bd63-caf84ae75cfc|
|Grobogan    |2025-11-06 16:44:09.129|2025-11-06 16:44:09.129|a7d8b55f-a852-4214-9b9d-c5f5a281dddc|
|Jepara      |2025-11-06 16:44:09.129|2025-11-06 16:44:09.129|f06cc6d7-1473-4a89-ac87-e9d13ad2224a|
|Karanganyar |2025-11-06 16:44:09.129|2025-11-06 16:44:09.129|ec8e4377-1e95-4bf8-9a5f-dd957faff667|
|Kebumen     |2025-11-06 16:44:09.129|2025-11-06 16:44:09.129|7ac2af73-795d-4479-9dfe-1bb594337603|
|Kendal      |2025-11-06 16:44:09.129|2025-11-06 16:44:09.129|3f5feb5d-bb8a-498a-b660-db9a1deb134e|
|Klaten      |2025-11-06 16:44:09.129|2025-11-06 16:44:09.129|6d9b18a4-f372-43f2-854b-dc3ba0b034a9|
|Kudus       |2025-11-06 16:44:09.129|2025-11-06 16:44:09.129|f5b04b7b-9236-4f6e-a56f-7ec8db79ed6b|
|Magelang    |2025-11-06 16:44:09.129|2025-11-06 16:44:09.129|3afad313-78dd-47b3-9348-5c3d6150d050|
|Pati        |2025-11-06 16:44:09.129|2025-11-06 16:44:09.129|0649df99-6eae-4009-8114-551f6e40d7f8|
|Pekalongan  |2025-11-06 16:44:09.129|2025-11-06 16:44:09.129|55a8a624-ccf1-4436-81ad-79bbea2dda8c|
|Pemalang    |2025-11-06 16:44:09.129|2025-11-06 16:44:09.129|0e81b0a1-d37f-4fe0-983e-dfc18cb542ba|
|Purbalingga |2025-11-06 16:44:09.129|2025-11-06 16:44:09.129|039c4a33-7c28-4902-99f9-3c604f41cc61|
|Purworejo   |2025-11-06 16:44:09.129|2025-11-06 16:44:09.129|617c9e35-7eb5-40e2-9e1e-95e24ea13c86|
|Rembang     |2025-11-06 16:44:09.129|2025-11-06 16:44:09.129|4b99ca4d-5293-4ac8-8225-c1073b828809|
|Semarang    |2025-11-06 16:44:09.129|2025-11-06 16:44:09.129|1c252ee1-5e81-48b1-a8cd-f09a2597c5cc|
|Sragen      |2025-11-06 16:44:09.129|2025-11-06 16:44:09.129|7bad37bc-c05c-414f-ba4e-81db8efff0ae|
|Sukoharjo   |2025-11-06 16:44:09.129|2025-11-06 16:44:09.129|ca96592c-42a0-495b-8b0b-35b5a7f98cbd|
|Tegal       |2025-11-06 16:44:09.129|2025-11-06 16:44:09.129|d415f6a6-7d72-4d66-bdab-6e87892744b9|
|Temanggung  |2025-11-06 16:44:09.129|2025-11-06 16:44:09.129|4a13c715-2c19-4eeb-8c1b-1ad6c9086734|
|Wonogiri    |2025-11-06 16:44:09.129|2025-11-06 16:44:09.129|e7f68cd6-42a4-4e81-8e63-c005375cf7b9|
|Wonosobo    |2025-11-06 16:44:09.129|2025-11-06 16:44:09.129|97ce1f9d-5381-4fba-9633-bcf2ed904d1f|
|Salatiga    |2025-11-06 16:44:09.129|2025-11-06 16:44:09.129|f1143bed-60b4-430e-8031-a652e0c8c7e8|
|Surakarta   |2025-11-06 16:44:09.129|2025-11-06 16:44:09.129|121b730f-4999-44c9-aa69-d2d47e5b9a26|
